UserAddress,deposit_cWEMIX,deposit_cWEMIX$,deposit_cstWEMIX,loan_cWEMIX,loan_cWEMIX$,loan_cstWEMIX
0x880DB159c840bEBd5adE0D8F99c653c11cD05d5C,0,0,0,0,0,0
0x251bF94BfAbA15c6d03dd6F5d4D23D83f4BbB602,0.000310454623813417,0,0,0,0,0
0xab26Cd5F0c458E3Cc66bfA254e0A73d79Cf8510D,1.001541545976297366,0,0,0,0,0
0x4A6390525609C632C3a2F1F8AcCb51b2149f5386,0.00031045502654751,0,0,0,0,0
0x8f9D1Cc804db44F6F082d95f027E49746AB07594,0.000310454623813417,0,0,0,0,0
0xB44122915D0A0672FF43C5e22B81860Fc170dE79,0,0,0,0,0,0
0x0E80FFAb30dA16dc82dA8E3F4e946186FBf2DA8a,8.433315058734915117,2.44168806E-10,0,0,0,0
0xC350dBd716806c45ceB00Ca5b3f2CeEa5C51068c,0,2.44168806E-10,0,0,0,0
0xfaFE31669065c574c15b88C65270C44ee613B816,0,0,0,0,0,0
0xe58A5782e7FCb39Eca107d7CBf32Be12DEdEB491,2.011099690682413562,0.631556061634308499,0,0,0,0
0x8c6f85D9997c30b2aCCC80f62C816dBfF5af4EEc,0.00031045502654751,0,0,0,0,0
0x6d33015570F071d418A68D3680F9F6B19c4Af761,0.000310450596472482,0,0,0,0,0
0x91DCa2954A7F6c5960C22c144EE1762911682996,1.006835233725048192,1.220844034256035775,1.000001725810051802,0,0,0
0xA3859F96d4476c60B6e9ef94C130a545b5F08C9e,1.100223647636071495,1.002095952468830111,1.000000046007152786,0,0,0
0x0399B14C57f50246Ca4F62c226687349C841E3d8,0.000310454623813417,0,0,0,0,0
0x6A3ED8EC1CBF5030E501e6F79DEE82971C8e79C4,0.000310451603307716,0,0,0,0,0
0x6690800f532Ae71131092B1A2cf860EFb045d0cD,0.00031045502654751,0,0,0,0,0
0x0EE4d9391852f054Ba68Df4799E7C5675309C1Ac,0.00031045502654751,0,0,0,0,0
0x1c8591da2978a542C50dEbf94e8D1ab6fe75Ce63,0.00031045502654751,0,0,0,0,0
0x004AAb656E955086Cbd6dD2CA2657CBDe007a240,0.00031045502654751,0,0,0,0,0
0xC19E7aEa9d407bF405bef4A1f5EC9932e60De8EC,1200751.632181678941526449,1245829.193539788782458927,80931.215261540156206842,0,0,0
0x57FFb07825f23829c9C7a5bE1e294FD199151EFF,0,0,0,0,0,0
0xf59189B1aC2531fA4f0FDF42b21d1E6F2c780f24,0.000310454623813417,0,0,0,0,0
0x03Af3737D385E40690dDa1524Cc7dD0B97c66d60,0.000310451200573622,0,0,0,0,0
0xbd1925f0b187A659f69C7Eb76c1Fd5125E41543E,0.000310451603307716,0,0,0,0,0
0x914B35276CB43CF64168Dc7FaB4EfBc423618014,0,0,0,0,0,0
0x5B78ace197872A4C90bb137D0643aA3755DBC1A0,0,0.000366520086782699,0,0,0,0
0x87A5b4b77FFcB5825FD6E03b78298FbE1454216e,0.000310454623813417,0,0,0,0,0
0xdB7650e145F2732471281f7229d2373be54Aedb4,0.000310454221079323,0,0,0,0,0
0x7fA0e3f296BCf997686e26A658F5e813728EEddd,0.000310454623813417,0,0,0,0,0
0x48d9F2E00F77313804a96fC9A8fa7dBea3108128,0,0,0,0,0,0
0xeb57db5770125384DFB8d040aA2981C91dE73Bf0,0.000310454623813417,0,0,0,0,0
0x2E5dbb2D7111666D6c4c98BB0B8888D3D903d464,0.000310451603307716,0,0,0,0,0
0x41F4e46A8698e5063Cb15635C926f9ddE5047297,3.117859029820172558,0,2.00000345E-10,0,0,0
